FundingInstrumentGaLevel1,AmountGranted,FundingInstrumentGaReporting,FundingInstrumentGaReporting_De,FundingInstrumentGaReporting_Fr,FundingInstrumentGa,ResearchInstitutionType
Science communication,6700,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,Cantonal university
Science communication,11300,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,University of applied sciences
Science communication,13373,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,Cantonal university
Science communication,8000,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,Cantonal university
Science communication,21500,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,Cantonal university
Science communication,18102,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,Cantonal university
Science communication,11255,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,University of Teacher Education
Science communication,13089,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,Cantonal university
Science communication,13400,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,University of Teacher Education
Science communication,21000,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,Cantonal university
Science communication,25000,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,Cantonal university
Science communication,21000,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,Cantonal university
Science communication,8820,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,Cantonal university
Science communication,11779,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,Cantonal university
Science communication,15999,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,Cantonal university
Science communication,16976,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,Cantonal university
Science communication,13789,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,University of Teacher Education
Science communication,18000,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,Cantonal university
Science communication,17200,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,Cantonal university
Science communication,10935,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,Cantonal university
Science communication,15000,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,Cantonal university
Science communication,9000,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,Cantonal university
Science communication,17220,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,Cantonal university
Science communication,21800,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,Cantonal university
